C0000804  Abortion, Criminal
C2157978  nodules on the breasts right
C2157979  nodules on the breasts right superior lateral quadrant
C2157980  nodules on the breasts right inferior lateral quadrant
C2157981  nodules on the breasts right superior medial quadrant
C2157982  nodules on the breasts right inferior medial quadrant
C2157983  nodules on the breasts left
C2157984  nodules on the breasts left superior lateral quadrant
C2157985  nodules on the breasts left inferior lateral quadrant
C2157986  nodules on the breasts left superior medial quadrant
C2157987  nodules on the breasts left inferior medial quadrant
C2157988  nodules on the breasts both
C2157989  nodules on the chest nipple(s) right
C2157990  nodules on the chest nipple(s) left
C2157991  nodules on the chest nipple(s) both
C2158026  nodules scrotum right
C2158027  nodules scrotum left
C2158028  nodules scrotum anterior
C2158029  nodules scrotum posterior
C2158042  nodules vulvar
C2158043  nodules vulvar right
C2158044  nodules vulvar left
C2158045  nodules vulvar both
C2158046  nodules labia
C2158047  nodules labia right
C2158048  nodules labia left
C2158049  nodules labia bilateral
C2158295  cysts on nasolabial groove
C2158534  cysts on right breast (physical finding)
C2158535  cysts on superior lateral quadrant of right breast
C2158536  cysts on inferior lateral quadrant of right breast (physical finding)
C2158537  cysts on superior medial quadrant of right breast (physical finding)
C2158538  cysts on inferior medial quadrant of right breast (physical finding)
C2158539  cysts on left breast (physical finding)
C2158540  cysts on superior lateral quadrant of left breast (physical finding)
C2158541  cysts on inferior lateral quadrant of left breast (physical finding)
C2158542  cysts on superior medial quadrant of left breast (physical finding)
C2158543  cysts on inferior medial quadrant of left breast (physical finding)
C2158545  cysts on right nipple
C2158546  cysts on left nipple (physical finding)
C2158547  cysts on both nipples (physical finding)
C2158548  cysts on areola (physical finding)
C2158549  cysts on right areola
C2158550  cysts on left areola (physical finding)
C2158551  cysts on both areolae (physical finding)
C2158586  cyst of right side of scrotum (physical finding)
C2158587  cyst of left side of scrotum (physical finding)
C2158588  cyst of anterior aspect of scrotum
C2158589  cyst of posterior aspect of scrotum
C2158602  cyst of right side of vulva (physical finding)
C2158603  cyst of left side of vulva (physical finding)
C2158604  cyst of both sides of vulva (physical finding)
C2158605  cysts on right labia
C2158606  cysts on left labia
C2158607  cysts on labia bilaterally
C2159136  wheal on the breasts
C2159137  wheal on right breast
C2159138  wheal on the breasts right superior lateral quadrant
C2159139  wheal on inferior lateral quadrant of right breast (physical finding)
C2159140  wheal on superior medial quadrant of right breast
C2159141  wheal on inferior medial quadrant of right breast (physical finding)
C2159142  wheal on left breast (physical finding)
C2159143  wheal on superior lateral quadrant of left breast (physical finding)
C2159144  wheal on inferior lateral quadrant of left breast (physical finding)
C2159145  wheal on superior medial quadrant of left breast
C2159146  wheal on inferior medial quadrant of left breast (physical finding)
C2159147  wheal on both breasts
C2159148  wheal on the chest nipple(s)
C2159149  wheal on right nipple
C2159150  wheal on left nipple (physical finding)
C2159151  wheal on both nipples (physical finding)
C2159152  wheal on areola (physical finding)
C2159153  wheal on right areola (physical finding)
C2159154  wheal on left areola
C2159155  wheal on both areolae (physical finding)
C2159192  wheal on scrotum (physical finding)
C2159193  wheal on right scrotum
C2159194  wheal on left scrotum (physical finding)
C2159195  wheal on anterior scrotum (physical finding)
C2159196  wheal on posterior scrotum (physical finding)
C2159207  wheal on vulva
C2159208  wheal on right vulva (physical finding)
C2159209  wheal on left vulva (physical finding)
C2159210  wheals on entire vulva
C2159211  wheal labia
C2159212  wheal on right labia
C2159213  wheal on left labia (physical finding)
C2159214  wheal labia bilateral
C2159716  pustules on breast
C2159717  pustules on right breast (physical finding)
C2159718  pustules on superior lateral quadrant of right breast (physical finding)
C2159719  pustules on inferior lateral quadrant of right breast
C2159720  pustules on superior medial quadrant of right breast (physical finding)
C2159721  pustules on inferior medial quadrant of right breast (physical finding)
C2159722  pustules on the breasts left
C2159723  pustules on superior lateral quadrant of left breast (physical finding)
C2159724  pustules on inferior lateral quadrant of left breast
C2159725  pustules on superior medial quadrant of left breast
C2159726  pustules on the breasts left inferior medial quadrant
C2159727  pustules on the chest nipple(s)
C2159728  pustules on right nipple (physical finding)
C2159729  pustules on left nipple (physical finding)
C2159730  pustules on both nipples (physical finding)
C2159731  pustules on right areola (physical finding)
C2159732  pustules on left areola (physical finding)
C2159762  pustules were seen on the scrotum
C2159763  pustule of right side of scrotum
C2159764  pustule of left side of scrotum (physical finding)
C2159765  pustule of anterior aspect of scrotum
C2159766  pustule of posterior aspect of scrotum
C2159775  pustules labia
C2159776  pustules labia right
C2159777  pustules labia left
C2159778  pustules labia bilateral
C2160284  eschar on breast
C2160285  eschar on right breast
C2160286  eschar on superior lateral quadrant of right breast (physical finding)
C2160287  eschar on inferior lateral quadrant of right breast
C2160288  eschar on superior medial quadrant of right breast (physical finding)
C2160289  eschar on inferior medial quadrant of right breast (physical finding)
C2160290  eschar on left breast (physical finding)
C2160291  eschar on superior lateral quadrant of left breast (physical finding)
C2160292  eschar on inferior lateral quadrant of left breast
C2160293  eschar on superior medial quadrant of left breast (physical finding)
C2160294  eschar on inferior medial quadrant of left breast (physical finding)
C2160295  eschar on both breasts (physical finding)
C2160296  eschar on nipple
C2160297  eschar on right nipple
C2160298  eschar on left nipple
C2160299  eschar on both nipples (physical finding)
C2160300  eschar on areola
C2160301  eschar on right areola (physical finding)
C2160302  eschar on left areola
C2160303  eschar on both areolae
C2160340  eschars were seen on the scrotum
C2160341  eschar of right side of scrotum
C2160342  eschar of left side of scrotum
C2160343  eschar of anterior aspect of scrotum
C2160344  eschar of posterior aspect of scrotum
C2160357  eschar of vulva (physical finding)
C2160358  eschar of right side of vulva (physical finding)
C2160359  eschar of left side of vulva
C2160360  eschars were seen on the entire vulva
C2160361  eschar on labia (physical finding)
C2160362  eschar on right labia (physical finding)
C2160363  eschar on left labia
C2160364  eschars were seen on the labia bilaterally
C2160896  lichenification on breast (physical finding)
C2160897  lichenification on right breast (physical finding)
C2160898  lichenification breasts right superior lateral quadrant
C2160899  lichenification on inferior lateral quadrant of right breast (physical finding)
C2160900  lichenification on superior medial quadrant of right breast
C2160901  lichenification on inferior medial quadrant of right breast
C2160902  lichenification breasts left
C2160903  lichenification on superior lateral quadrant of left breast (physical finding)
C2160904  lichenification breasts left inferior lateral quadrant
C2160905  lichenification on superior medial quadrant of left breast
